OBJECTID,type_,ident,Latitude,Longitude,DateTime_,Observer,Month_,Day_,Time,Location,ID,OBS_NO,ident_1,BIRD,Lat,Long_,Bearing,Observed,Singing,Comments,SONG,Distance,BirdID,DataType
270,WAYPOINT,219,45.29203600000,-76.22834500000,2016-06-07 13:54:16,EH,6,7,13:54:16,Panmure,BILL_40,40,219,BILL,45.29203600000,-76.22834500000,302,N,N,,,,BILL,Trianglulation
272,WAYPOINT,220,45.29240200000,-76.22836500000,2016-06-07 13:57:21,EH,6,7,13:57:21,Panmure,BILL_40,40,220,BILL,45.29240200000,-76.22836500000,15,N,N,,,,BILL,Trianglulation
275,WAYPOINT,221,45.29214000000,-76.22895500000,2016-06-07 13:59:59,EH,6,7,13:59:59,Panmure,BILL_40,40,221,BILL,45.29214000000,-76.22895500000,346,N,N,,,,BILL,Trianglulation
44,WAYPOINT,052,45.29200300000,-76.22902000000,2016-06-08 7:07:08,EH,6,8, 7:07:08,Panmure,BILL_44,44,052,BILL,45.29200300000,-76.22902000000,354,N,N,,,,BILL,Trianglulation
45,WAYPOINT,053,45.29228800000,-76.22862400000,2016-06-08 7:11:39,EH,6,8, 7:11:39,Panmure,BILL_44,44,053,BILL,45.29228800000,-76.22862400000,312,N,N,,,,BILL,Trianglulation
46,WAYPOINT,055,45.29249700000,-76.22930000000,2016-06-08 7:16:12,EH,6,8, 7:16:12,Panmure,BILL_44,44,055,BILL,45.29249700000,-76.22930000000,330,N,N,,,,BILL,Trianglulation
112,WAYPOINT,124,45.29218500000,-76.22900000000,2016-06-10 5:45:13,EH,6,10, 5:45:13,Panmure,BILL_88,88,124,BILL,45.29218500000,-76.22900000000,281,N,N,,,,BILL,Trianglulation
114,WAYPOINT,125a,45.29249400000,-76.22933200000,2016-06-10 5:48:27,EH,6,10, 5:48:27,Panmure,BILL_88,88,125a,BILL,45.29249400000,-76.22933200000,310,N,N,,,,BILL,Trianglulation
115,WAYPOINT,126,45.29297300000,-76.22994200000,2016-06-10 5:52:12,EH,6,10, 5:52:12,Panmure,BILL_88,88,126,BILL,45.29297300000,-76.22994200000,188,N,N,,,,BILL,Trianglulation
212,WAYPOINT,191,45.29165900000,-76.22976900000,2016-06-12 11:44:39,EH,6,12,11:44:39,Panmure,BILL_115,115,191,BILL,45.29165900000,-76.22976900000,358,N,N,,,,BILL,Trianglulation
214,WAYPOINT,192,45.29198300000,-76.22927000000,2016-06-12 11:46:06,EH,6,12,11:46:06,Panmure,BILL_115,115,192,BILL,45.29198300000,-76.22927000000,316,N,N,,,,BILL,Trianglulation
215,WAYPOINT,193,45.29274700000,-76.22963100000,2016-06-12 11:48:26,EH,6,12,11:48:26,Panmure,BILL_115,115,193,BILL,45.29274700000,-76.22963100000,195,N,N,,,,BILL,Trianglulation
285,WAYPOINT,225,45.29216500000,-76.22900300000,2016-06-13 7:59:18,EH,6,13, 7:59:18,Panmure,BILL_127,127,225,BILL,45.29216500000,-76.22900300000,289,N,N,,,,BILL,Trianglulation
