BirdID,ID,X_Coordinate,Y_Coordinate,Iterations
BILL,BILL_115,-76.2297256,45.29242758,1
BILL,BILL_127,-76.22974951,45.29244127,1
BILL,BILL_146,-76.23005994,45.29261514,1
BILL,BILL_157,-76.2299738,45.29234226,1
BILL,BILL_169,-76.22995729,45.29271951,1
BILL,BILL_177,-76.23000328,45.29257638,1
BILL,BILL_183,-76.22986185,45.29224752,1
BILL,BILL_197,-76.22996305,45.29232283,1
BILL,BILL_205,-76.23002592,45.29248171,1
BILL,BILL_212,-76.23007845,45.29248458,1
BILL,BILL_229,-76.23001832,45.29274629,1
BILL,BILL_238,-76.23023854,45.29236285,1
BILL,BILL_261,-76.23045958,45.29264738,1
BILL,BILL_266,-76.22999409,45.29237126,1
BILL,BILL_273,-76.22978921,45.29231471,1
BILL,BILL_286,-76.23004746,45.29227786,1
BILL,BILL_299,-76.23021291,45.29220481,1
BILL,BILL_301,-76.2302993,45.29265628,1
BILL,BILL_355,-76.22841855,45.29205251,3
BILL,BILL_370,-76.23033479,45.2926926,1
BILL,BILL_381,-76.23009813,45.29247666,1
BILL,BILL_392,-76.23026558,45.29244791,1
BILL,BILL_44,-76.22961508,45.29328643,9
BILL,BILL_88,-76.22996526,45.29281001,2
CASH,CASH_100,-76.2290395,45.29239526,1
CASH,CASH_116,-76.22942827,45.29294969,1
CASH,CASH_138,-76.22949425,45.29281413,1
CASH,CASH_148,-76.22872905,45.29233045,1
CASH,CASH_176,-76.2300851,45.29261487,1
CASH,CASH_182,-76.2293218,45.29247994,1
CASH,CASH_206,-76.22897466,45.29254031,1
CASH,CASH_363,-76.22932233,45.29264212,1
CASH,CASH_41,-76.22921762,45.29247564,1
CASH,CASH_45,-76.22906635,45.29226586,1
CASH,CASH_6_24,-76.22937918,45.29305242,2
CASH,CASH_6_9,-76.22955692,45.29285286,1
CASH,CASH_78,-76.22921719,45.29197382,1
CASH,CASH_87,-76.22979173,45.29261517,1
FURY,FURY_104,-76.15672895,45.26036524,3
FURY,FURY_121,-76.1553994,45.26297681,1
FURY,FURY_133,-76.15657276,45.25948582,1
FURY,FURY_293,-76.1554429,45.26269815,1
FURY,FURY_6_8,-76.15490469,45.26239429,1
FURY,FURY_60,-76.15538381,45.26263079,1
FURY,FURY_93,-76.15551339,45.26260227,1
GREY,GREY_103,-76.15459751,45.26262264,2
GREY,GREY_110,-76.15473478,45.26242185,1
GREY,GREY_120,-76.15479029,45.26252196,1
GREY,GREY_174,-76.15516733,45.26204018,1
GREY,GREY_180,-76.1547339,45.26194334,2
GREY,GREY_199,-76.1546422,45.26215769,1
GREY,GREY_208,-76.15436517,45.26161764,1
GREY,GREY_216,-76.15410112,45.2621296,1
GREY,GREY_227,-76.15409214,45.26196328,1
GREY,GREY_241,-76.15416965,45.26181836,1
GREY,GREY_25,-76.15416436,45.2619899,1
GREY,GREY_255,-76.1551089,45.26212079,1
GREY,GREY_278,-76.15461405,45.26185398,1
GREY,GREY_279,-76.15644227,45.26143071,2
GREY,GREY_294,-76.15515506,45.26195196,2
