contlabel,BirdID,TagID,Visual,Triangulation,Home Range
99,BILL,Grey/Red,16373.9576574619,8657.18200742317,17580.8552183316
98,BILL,Grey/Red,15848.2723138096,8655.75579032573,16518.3558244517
97,BILL,Grey/Red,15340.35313427,8654.63055965622,15641.6057932599
96,BILL,Grey/Red,14850.9280471674,8653.63908403178,15240.9290728549
95,BILL,Grey/Red,14379.1562978025,7495.00279022323,14847.1363017039
94,BILL,Grey/Red,13924.1485497412,6217.16761468165,14378.0306307558
93,BILL,Grey/Red,13483.6184819151,5257.63158982067,13817.2345259145
92,BILL,Grey/Red,13057.3672550604,4481.82325997517,13266.3598783668
91,BILL,Grey/Red,12783.301520717,4007.2821450429,12785.3967465544
90,BILL,Grey/Red,12583.5469178224,3978.8070716717,12335.8452755273
89,BILL,Grey/Red,12386.2953549426,3950.52583677182,11882.4262756498
88,BILL,Grey/Red,12191.7592895957,3922.45489546843,11543.325336388
87,BILL,Grey/Red,11999.3295028902,3894.54535062285,11251.483660345
86,BILL,Grey/Red,11809.0057045654,3825.83981907205,10999.8795247781
85,BILL,Grey/Red,11620.7979550444,3756.31375088706,10896.5500739147
84,BILL,Grey/Red,11434.4723122172,3687.96973144729,10795.6852074052
83,BILL,Grey/Red,11249.8577746915,3620.65486168169,10673.2928906892
82,BILL,Grey/Red,11066.0669616096,3446.28184322477,10507.2426274537
81,BILL,Grey/Red,10883.7860384652,3213.03346803802,10346.6741574907
80,BILL,Grey/Red,10703.1620668828,2991.57462335937,9939.13879977137
79,BILL,Grey/Red,10523.8945063368,2780.88545589789,9434.83078817849
78,BILL,Grey/Red,10345.9402131243,2629.35165112263,9015.00916914339
77,BILL,Grey/Red,10169.4905428877,2620.61306005207,8016.52823790512
76,BILL,Grey/Red,9994.33575486916,2611.89086090005,7096.12981502945
75,BILL,Grey/Red,9820.16860746784,2603.18384740519,6345.43243154697
74,BILL,Grey/Red,9513.62611295143,2594.49863510265,6032.71768841904
73,BILL,Grey/Red,9210.54443501891,2590.95085462695,5741.52778109722
72,BILL,Grey/Red,8909.94499910704,2587.89430366096,5455.8969121502
71,BILL,Grey/Red,8612.05885979475,2584.84011036356,5149.88277321414
70,BILL,Grey/Red,8316.11850161164,2581.78864178329,4863.47951785079
69,BILL,Grey/Red,8021.72065623663,2514.34739856934,4505.61289321701
68,BILL,Grey/Red,7729.33236077975,2399.85248922568,4074.04164829128
67,BILL,Grey/Red,7437.45188719768,2288.32459678501,3681.04158095724
66,BILL,Grey/Red,7271.1463187926,2179.65617163898,3528.56849309104
65,BILL,Grey/Red,7166.57804427145,2090.75038968492,3485.38325104822
64,BILL,Grey/Red,7061.74606858008,2064.02286717365,3442.5533972804
63,BILL,Grey/Red,6957.69379843416,2037.4721949409,3414.27826893469
62,BILL,Grey/Red,6853.81917914737,2011.09862806356,3387.96317025949
61,BILL,Grey/Red,6749.9286125889,1984.90226967377,3364.22773756017
