Study Site,BirdID,TagID,Territory KDE (ha),Territory points,Telemetry KDE (ha),Telemetry points,Home Range KDE (ha),Home Range points,KDE overlap %
Panmure,BILL,Grey/Red,1.43791562978025,13,0.749484479269723,24,1.50780178076945,37,0
Panmure,CASH,Black/Black,0.647153369694152,23,0.801623264220319,14,0.858604091479047,37,0
BurntLands,FURY,Black/Red,5.47400302104587,8,2.31126169897402,7,5.5860468021445,15,0
BurntLands,GREY,Grey/Grey,1.4183232867457,10,1.63899651229597,30,2.26822694992705,40,0
BurntLands,GRUE,Blue/Green,0.911947558536008,10,4.34847394858412,11,3.6465965034612,21,0
Panmure,JR,Blue/Orange,0.515481643526559,18,0.779209755097563,9,1.01438743360252,27,0
Panmure,LUCKY,Green/Green,0.946689724299801,17,2.05636020918835,23,1.99592206859962,40,0
BurntLands,RED,Red/Red,0.621988128740178,4,3.62798748727711,26,4.32671028617485,30,0
BurntLands,SANTA,Green/Red,0.574762094176054,23,3.35359853790943,23,2.7764932855688,46,0
Panmure,SHARK,Orange/Red,0.758510129922623,25,0.769954567464918,7,1.19887477053524,32,0
Panmure,SMURF,Blue/Blue,0.820810286635533,24,1.69282804201127,15,1.36856232837893,39,0
BurntLands,TIGER,Black/Orange,2.21313035618654,15,5.62776842564941,26,5.79265883175805,41,0
